PID,RegistrationID,InstrumentID,AssessmentName,InstrumentTitle,ItemID,Key,Value
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_Title,InstrumentOrder,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_Title,InstrumentSection,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_Title,ItemOrder,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_Title,Response,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_Title,Position,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_Title,DateCreated,2023-02-06T21:29:21-0600
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_Title,NumberFormatting,xxxx.x
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_I,InstrumentOrder,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_I,InstrumentSection,2
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_I,ItemOrder,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_I,Response,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_I,Position,2
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_I,DateCreated,2023-02-06T21:29:23-0600
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_I,NumberFormatting,xxxx.x
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_1a,InstrumentOrder,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_1a,InstrumentSection,3
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_1a,ItemOrder,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_1a,Response,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_1a,Position,3
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_1a,DateCreated,2023-02-06T21:29:25-0600
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_1a,NumberFormatting,xxxx.x
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_5r,InstrumentOrder,1
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_5r,InstrumentSection,4
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_5r,ItemOrder,2
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_5r,Response,55
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_5r,Score,0
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_5r,Position,4
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_5r,DateCreated,2023-02-06T21:29:31-0600
cdir12,13133306-6634-48E7-82B9-3F407236F63D,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,OC_5r,NumberFormatting,xxxx.x
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_Title,InstrumentOrder,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_Title,InstrumentSection,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_Title,ItemOrder,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_Title,Response,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_Title,Position,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_Title,DateCreated,2023-02-07T21:47:43-0600
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_Title,NumberFormatting,xxxx.x
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_I,InstrumentOrder,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_I,InstrumentSection,2
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_I,ItemOrder,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_I,Response,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_I,Position,2
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_I,DateCreated,2023-02-07T21:47:45-0600
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,OC_I,NumberFormatting,xxxx.x
