PID,RegistrationID,InstrumentID,AssessmentName,InstrumentTitle,ItemID,Key,Value
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Title,InstrumentOrder,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Title,InstrumentSection,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Title,ItemOrder,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Title,Response,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Title,Position,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Title,DateCreated,2023-02-05T16:14:50-0600
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Title,NumberFormatting,xxxx.x
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Instructions_24-48,InstrumentOrder,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Instructions_24-48,InstrumentSection,2
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Instructions_24-48,ItemOrder,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Instructions_24-48,Response,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Instructions_24-48,Position,2
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Instructions_24-48,DateCreated,2023-02-05T16:15:17-0600
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_Instructions_24-48,NumberFormatting,xxxx.x
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_Prompt1,InstrumentOrder,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_Prompt1,InstrumentSection,3
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_Prompt1,ItemOrder,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_Prompt1,Response,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_Prompt1,Position,3
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_Prompt1,DateCreated,2023-02-05T16:16:18-0600
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_Prompt1,NumberFormatting,xxxx.x
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_1,InstrumentOrder,1
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_1,InstrumentSection,3
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_1,ItemOrder,2
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_1,Score,0
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_1,Position,4
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_1,DateCreated,2023-02-05T16:16:18-0600
567,3ABD8656-7596-4C11-9D3E-07170E180F17,A1787AC2-7C81-4395-A217-8F25468CA3A5,SO RT 2 2523,Social Observation,SO_24-48_1,NumberFormatting,xxxx.x
