PID,RegistrationID,AssessmentName,InstrumentID,InstrumentName,ItemID,Response,Score,TScore,TScoreStandardError,Theta,ThetaStandardError,Position,ResponseTime,DateCreated,NumberFormatting
567,507BD562-C441-4565-A571-50469DE435F9,MVR RT 2923 15,BEC5396E-E932-4896-99EE-08FB827FABED,Mullen Visual Reception,Mullen_MVR_Title,1,,,,,,1,,2023-02-09T19:31:27-0600,xxxx.x
567,507BD562-C441-4565-A571-50469DE435F9,MVR RT 2923 15,BEC5396E-E932-4896-99EE-08FB827FABED,Mullen Visual Reception,Mullen_MVR_Instructions,1,,,,,,2,,2023-02-09T19:31:28-0600,xxxx.x
567,507BD562-C441-4565-A571-50469DE435F9,MVR RT 2923 15,BEC5396E-E932-4896-99EE-08FB827FABED,Mullen Visual Reception,MVR3_instruction,1,,,,,,3,,2023-02-09T19:31:29-0600,xxxx.x
567,507BD562-C441-4565-A571-50469DE435F9,MVR RT 2923 15,BEC5396E-E932-4896-99EE-08FB827FABED,Mullen Visual Reception,MVR3_Image,1,,,,,,4,,2023-02-09T19:31:29-0600,xxxx.x
567,F52D94F1-5B81-4DDF-A37C-78F6D85056FC,MVR RT 2923 13,854C1D32-0340-4640-915C-840761517C95,Mullen Visual Reception,Mullen_MVR_Title,1,,,,,,1,,2023-02-09T19:27:40-0600,xxxx.x
567,F52D94F1-5B81-4DDF-A37C-78F6D85056FC,MVR RT 2923 13,854C1D32-0340-4640-915C-840761517C95,Mullen Visual Reception,Mullen_MVR_Instructions,1,,,,,,2,,2023-02-09T19:27:41-0600,xxxx.x
567,F52D94F1-5B81-4DDF-A37C-78F6D85056FC,MVR RT 2923 13,854C1D32-0340-4640-915C-840761517C95,Mullen Visual Reception,MVR3_instruction,1,,,,,,3,,2023-02-09T19:27:51-0600,xxxx.x
567,F52D94F1-5B81-4DDF-A37C-78F6D85056FC,MVR RT 2923 13,854C1D32-0340-4640-915C-840761517C95,Mullen Visual Reception,MVR3_Image,1,,,,,,4,,2023-02-09T19:27:52-0600,xxxx.x
567,F52D94F1-5B81-4DDF-A37C-78F6D85056FC,MVR RT 2923 13,854C1D32-0340-4640-915C-840761517C95,Mullen Visual Reception,MVR3,2,0,,,,,5,,2023-02-09T19:27:54-0600,xxxx.x
567,F52D94F1-5B81-4DDF-A37C-78F6D85056FC,MVR RT 2923 13,854C1D32-0340-4640-915C-840761517C95,Mullen Visual Reception,MVR5,1,1,,,,,6,,2023-02-09T19:28:15-0600,xxxx.x
